"level","metric","denoise_method","taxonomy_method","dataset","total","unassigned","percent_unassigned"
"family","taxa","dada2","VSEARCH","ringtrial_sean",22,2,9.09
"family","taxa","metabeat","VSEARCH","ringtrial_sean",23,2,8.7
"family","taxa","vsearch","VSEARCH","ringtrial_sean",22,2,9.09
"family","taxa","dada2","BLAST","windermere_2017",24,2,8.33
"family","taxa","metabeat","BLAST","windermere_2017",24,2,8.33
"family","taxa","vsearch","BLAST","windermere_2017",24,2,8.33
"family","taxa","dada2","MAPseq","windermere_2017",28,2,7.14
"family","taxa","metabeat","MAPseq","windermere_2017",27,2,7.41
"family","taxa","vsearch","MAPseq","windermere_2017",27,2,7.41
"family","taxa","dada2","MetaBEAT","windermere_2017",1,1,100
"family","taxa","metabeat","MetaBEAT","windermere_2017",10,1,10
"family","taxa","vsearch","MetaBEAT","windermere_2017",1,1,100
"family","taxa","dada2","RDP","windermere_2017",23,2,8.7
"family","taxa","metabeat","RDP","windermere_2017",23,2,8.7
"family","taxa","vsearch","RDP","windermere_2017",23,2,8.7
"family","taxa","dada2","VSEARCH","windermere_2017",35,2,5.71
"family","taxa","metabeat","VSEARCH","windermere_2017",34,2,5.88
"family","taxa","vsearch","VSEARCH","windermere_2017",33,2,6.06
